Recipe,Link,Time (min),Ingredient,Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Red Lentil and Vegetable Soup with Chive Yogurt,https://www.bonappetit.com/recipe/red-lentil-and-vegetable-soup-with-chive-yogurt,0,1/2 cup finely chopped red onion,33.75,0.5874999999999999,0.10874999999999999,0.0,0.0,18.75,7.175000000000001,2.25,4.8875,1.2125,5000.0,16.75,65.0,0.6375
Red Lentil and Vegetable Soup with Chive Yogurt,https://www.bonappetit.com/recipe/red-lentil-and-vegetable-soup-with-chive-yogurt,0,"3 garlic cloves, minced",123.29999999999998,5.85,1.7783999999999998,0.11429999999999998,0.0,124.64999999999999,29.4885,15.254999999999997,1.071,2.6864999999999997,72.0,0.09,284.4,5.323499999999999
Red Lentil and Vegetable Soup with Chive Yogurt,https://www.bonappetit.com/recipe/red-lentil-and-vegetable-soup-with-chive-yogurt,0,2 tablespoons finely minced peeled ginger,78.89999999999999,6.204,2.1543,,21.0,373.5,0.552,0.0,0.0,4.884,0.0,0.0,3.0,0.237
Red Lentil and Vegetable Soup with Chive Yogurt,https://www.bonappetit.com/recipe/red-lentil-and-vegetable-soup-with-chive-yogurt,0,8 cups low-salt chicken broth or water,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0
Red Lentil and Vegetable Soup with Chive Yogurt,https://www.bonappetit.com/recipe/red-lentil-and-vegetable-soup-with-chive-yogurt,0,"1 russet potato, cut into 1/2-inch pieces",197.5,0.2,0.065,0.0,0.0,12.5,45.175,3.25,1.55,5.3500000000000005,2.5,14.25,32.5,2.15
Red Lentil and Vegetable Soup with Chive Yogurt,https://www.bonappetit.com/recipe/red-lentil-and-vegetable-soup-with-chive-yogurt,0,"2 cups red lentils, rinsed well",1790.0,10.85,1.895,0.0,0.0,35.0,315.5,54.0,,119.55,290.0,8.5,240.0,36.949999999999996
Red Lentil and Vegetable Soup with Chive Yogurt,https://www.bonappetit.com/recipe/red-lentil-and-vegetable-soup-with-chive-yogurt,0,"2 carrots, peeled, cut into 1/2-inch pieces",205.0,1.2,0.185,0.0,0.0,345.0,47.9,14.0,23.700000000000003,4.65,83530.0,29.5,165.0,1.5
Red Lentil and Vegetable Soup with Chive Yogurt,https://www.bonappetit.com/recipe/red-lentil-and-vegetable-soup-with-chive-yogurt,0,2 cups (packed) spinach leaves,115.0,1.9500000000000002,0.315,0.0,0.0,395.0,18.15,11.0,2.1,14.299999999999999,46885.0,140.5,495.0,13.55
Red Lentil and Vegetable Soup with Chive Yogurt,https://www.bonappetit.com/recipe/red-lentil-and-vegetable-soup-with-chive-yogurt,0,Kosher salt and freshly ground black pepper,37.65,0.48899999999999993,0.20879999999999999,0.0,0.0,3.0,9.5925,3.795,0.096,1.5585,82.05,0.0,66.45,1.4565000000000001
Red Lentil and Vegetable Soup with Chive Yogurt,https://www.bonappetit.com/recipe/red-lentil-and-vegetable-soup-with-chive-yogurt,0,1/2 cup nonfat Greek-style yogurt,73.75,0.48750000000000004,0.14625000000000002,0.0075,6.25,45.0,4.5,0.0,4.050000000000001,12.737499999999999,5.0,0.0,137.5,0.08750000000000001
Red Lentil and Vegetable Soup with Chive Yogurt,https://www.bonappetit.com/recipe/red-lentil-and-vegetable-soup-with-chive-yogurt,0,1 tablespoon finely chopped fresh chives,4.5,0.1095,0.0219,0.0,0.0,0.44999999999999996,0.6525,0.375,0.2775,0.4905,652.9499999999999,8.715,13.799999999999999,0.24
Red Onion Marmalade with Chestnuts,https://www.bonappetit.com/recipe/red-onion-marmalade-with-chestnuts,0,4 tablespoons olive oil,530.4,60.0,8.6202,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078
